Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Kavya Deshmukh,Facebook,UK,1444,12423,14,4,37,3,2,4,7,395,94,16,362,6.6,20-01-2023,Daily,Video,15,0,2,Consulting,Positive,74.2
Rahul Mishra,Freelancer,Canada,3206,11198,12,4,41,7,1,3,3,485,73,40,13,7.37,21-01-2023,Weekly,Text,5,3,0,Marketing,Positive,26.34
Arjun Reddy,Facebook,UK,3818,7000,7,1,47,6,3,4,15,381,38,9,379,2.99,22-01-2023,Daily,Article,19,1,1,Consulting,Negative,92.36
Abhishek Tiwari,Tesla,India,3509,15209,10,2,10,2,0,1,16,107,74,46,372,7.84,23-01-2023,Daily,Video,15,4,2,Consulting,Neutral,3.21
Aditi Chauhan,Google,Australia,4068,17708,4,1,44,7,2,2,12,124,84,36,393,2.51,24-01-2023,Monthly,Article,3,3,0,Tech,Neutral,70.61
Shweta Bhattacharya,Microsoft,USA,4434,15537,9,4,17,3,1,4,8,353,75,32,296,1.2,25-01-2023,Monthly,Video,7,4,2,Tech,Positive,70.96
Simran Kaur,Freelancer,USA,3882,15621,10,4,34,5,0,1,8,297,80,42,472,6.68,26-01-2023,Daily,Article,24,0,2,Healthcare,Neutral,79.26
Karthik Nair,Freelancer,USA,3022,14282,2,2,32,5,1,4,11,266,48,46,111,6.55,27-01-2023,Monthly,Article,16,1,0,Consulting,Negative,66.52
Isha Bansal,Amazon,Australia,3493,7525,9,4,36,2,1,1,19,330,95,42,489,9.92,28-01-2023,Rarely,Video,28,2,0,Consulting,Positive,11.07
Pooja Choudhary,Startup,Australia,1247,15148,6,2,30,9,2,3,6,141,34,46,359,0.81,29-01-2023,Daily,Image,8,1,1,Marketing,Neutral,46.61
Neha Malhotra,Freelancer,Canada,3160,10937,8,4,16,4,3,1,17,5,76,12,69,0.61,30-01-2023,Rarely,Text,24,4,2,Tech,Neutral,48.54
Simran Kaur,Amazon,Australia,3161,7880,12,4,35,8,1,3,18,74,6,26,398,8.24,31-01-2023,Weekly,Video,4,3,2,Education,Neutral,85.82
Manish Kulkarni,Amazon,India,1992,11875,13,1,30,6,3,1,1,372,51,45,233,6.78,01-02-2023,Monthly,Video,2,1,1,Tech,Positive,75.63
Pallavi Thakur,Freelancer,USA,1895,15423,12,2,26,9,2,4,14,14,33,12,143,8.84,02-02-2023,Rarely,Image,7,0,0,Finance,Positive,45.68
Aniket Bose,Tesla,Canada,1558,8497,14,1,10,3,2,3,5,237,31,14,38,5.2,03-02-2023,Monthly,Text,15,0,0,Education,Positive,65.3
Shweta Bhattacharya,Microsoft,Australia,3405,7951,9,2,7,3,3,3,3,348,18,38,41,7.28,04-02-2023,Daily,Article,21,3,0,Education,Neutral,20.13
Rajesh Gupta,Google,USA,4173,14949,13,2,10,3,1,4,18,215,72,49,259,3.37,05-02-2023,Weekly,Image,4,0,1,Education,Negative,27.69
Aakash Sinha,Microsoft,Canada,2764,13511,2,1,8,2,2,2,18,330,60,3,479,2.51,06-02-2023,Weekly,Article,29,3,2,Consulting,Neutral,94.61
Aniket Bose,Google,USA,1889,2967,3,4,13,3,1,4,8,367,92,47,212,9.39,07-02-2023,Monthly,Text,25,2,0,Tech,Negative,45.79
Sneha Joshi,Google,USA,1761,12540,2,4,9,3,1,1,8,301,76,7,236,7.59,08-02-2023,Weekly,Video,16,3,0,Consulting,Positive,64.52
Harsh Vardhan,Tesla,Germany,1944,8957,5,3,13,2,4,2,10,110,73,47,375,8.02,09-02-2023,Daily,Text,2,1,2,Marketing,Neutral,95.21
Abhishek Tiwari,Microsoft,UK,4316,15648,10,4,47,3,2,1,4,431,81,22,173,2.48,10-02-2023,Monthly,Image,1,1,0,Consulting,Positive,24.96
Siddharth Pandey,Microsoft,Canada,1868,13121,9,4,20,9,4,4,17,338,49,11,257,3.9,11-02-2023,Weekly,Video,22,4,0,Finance,Negative,6.75
Rahul Mishra,Tesla,USA,430,6820,2,1,38,6,2,2,5,102,2,42,11,8.82,12-02-2023,Rarely,Image,29,3,0,Finance,Neutral,40.35
Varun Bhatia,Tesla,USA,4867,4584,2,3,19,3,2,4,2,23,45,13,363,6.56,13-02-2023,Weekly,Article,8,3,0,Education,Neutral,80.21
Rajesh Gupta,Tesla,India,796,11454,11,4,29,7,0,4,2,282,29,39,477,7.11,14-02-2023,Monthly,Image,17,4,2,Finance,Neutral,45.96
Arjun Reddy,Microsoft,Australia,324,10389,7,4,33,8,2,3,17,396,88,36,138,3.85,15-02-2023,Rarely,Image,27,0,1,Marketing,Positive,18.36
Shweta Bhattacharya,Freelancer,Canada,4918,2884,12,4,28,2,4,4,1,34,15,1,36,5.63,16-02-2023,Monthly,Image,6,0,2,Marketing,Neutral,57.49
Rahul Mishra,Amazon,Canada,1188,11806,8,4,18,1,0,1,9,284,27,34,183,5.16,17-02-2023,Monthly,Text,23,4,0,Finance,Negative,60.47
Pallavi Thakur,Google,UK,402,4962,9,4,7,8,1,1,19,188,26,25,455,0.8,18-02-2023,Rarely,Article,13,2,0,Tech,Positive,24.7
Aarav Sharma,Facebook,Germany,153,14052,11,4,14,3,3,3,7,105,59,5,107,0.78,19-02-2023,Daily,Video,26,4,0,Healthcare,Positive,70.24
Aakash Sinha,Google,USA,1477,912,9,3,26,6,1,3,14,255,57,32,468,7.62,20-02-2023,Rarely,Article,1,2,1,Healthcare,Negative,96.6
Tanvi Agarwal,Facebook,Germany,2921,2448,14,1,49,9,0,2,2,466,75,29,204,1.61,21-02-2023,Rarely,Image,14,3,0,Marketing,Positive,20.69
Nitin Saxena,Freelancer,USA,2485,19957,11,4,43,9,1,4,11,237,93,25,39,3.52,22-02-2023,Weekly,Article,13,1,0,Consulting,Neutral,22.18
Aakash Sinha,Amazon,UK,2708,4409,7,1,9,4,4,4,16,171,15,32,358,8.03,23-02-2023,Monthly,Image,11,0,1,Consulting,Negative,86.15
Siddharth Pandey,Startup,USA,4958,17510,8,2,16,2,2,1,14,181,3,33,453,1.14,24-02-2023,Rarely,Article,17,1,2,Healthcare,Negative,25.94
Ananya Kapoor,Tesla,Australia,3431,7200,7,2,7,2,0,2,9,63,14,14,300,2.91,25-02-2023,Daily,Article,8,3,2,Education,Neutral,91.01
Varun Bhatia,Google,India,463,12399,11,2,43,5,1,2,6,96,27,10,472,8.09,26-02-2023,Weekly,Text,15,2,2,Healthcare,Negative,47.28
Nidhi Goel,Freelancer,India,2785,8884,6,4,9,0,1,4,3,161,11,48,183,9.65,27-02-2023,Weekly,Video,13,2,1,Tech,Positive,84.9
Arjun Reddy,Facebook,Australia,2767,237,9,3,37,8,3,1,13,137,73,46,437,9.45,28-02-2023,Monthly,Image,17,0,1,Tech,Positive,43.38
Arjun Reddy,Microsoft,Canada,4997,19872,10,3,20,5,4,4,4,433,48,6,473,5.47,01-03-2023,Weekly,Video,11,2,1,Marketing,Positive,33.29
Nitin Saxena,Facebook,Australia,1734,6696,4,1,46,5,3,4,10,230,40,25,449,3.34,02-03-2023,Daily,Text,11,2,2,Consulting,Neutral,81.76
Rohan Iyer,Facebook,Australia,4962,16320,3,4,27,3,3,4,15,124,24,42,224,8.21,03-03-2023,Weekly,Video,26,3,1,Marketing,Negative,66.92
Swati Rajan,Freelancer,UK,413,7137,9,3,20,2,1,2,18,411,85,1,366,6.3,04-03-2023,Rarely,Text,8,0,0,Tech,Neutral,98.01
Yashwant Joshi,Amazon,UK,3636,799,7,4,33,5,1,3,10,186,75,17,263,8.7,05-03-2023,Daily,Video,21,0,2,Healthcare,Positive,49.65
Aniket Bose,Microsoft,Canada,4030,6840,8,2,38,3,4,1,9,290,42,49,366,2.87,06-03-2023,Monthly,Article,18,3,1,Education,Negative,70.02
Aditi Chauhan,Tesla,Canada,3448,5537,12,1,9,1,0,2,2,288,47,18,29,5.75,07-03-2023,Rarely,Text,28,4,0,Education,Positive,58.6
Nidhi Goel,Tesla,Canada,4814,14237,2,1,46,5,3,3,11,495,21,34,72,3.98,08-03-2023,Rarely,Article,24,1,0,Marketing,Negative,45.94
Pooja Choudhary,Tesla,India,2666,17481,9,3,44,3,2,3,18,438,94,29,288,4.51,09-03-2023,Daily,Image,7,2,0,Consulting,Negative,77.08
Kavya Deshmukh,Startup,Australia,4182,13290,11,4,48,9,0,3,19,235,9,31,222,1.46,10-03-2023,Daily,Text,11,1,0,Marketing,Positive,27.6
Vikram Mehta,Startup,India,4743,14701,3,1,44,6,0,1,6,282,44,11,80,4.59,11-03-2023,Daily,Video,17,1,2,Healthcare,Negative,25.77
Karthik Nair,Tesla,India,2252,16931,1,4,48,6,2,4,19,462,90,9,35,0.78,12-03-2023,Rarely,Text,24,2,2,Tech,Positive,26.61
Siddharth Pandey,Google,USA,4463,13491,8,4,34,6,3,4,9,374,25,34,64,5.75,13-03-2023,Daily,Article,20,3,0,Finance,Neutral,43.98
Varun Bhatia,Freelancer,Canada,4064,15841,5,4,39,1,4,1,1,245,70,20,374,8.95,14-03-2023,Monthly,Video,22,4,1,Healthcare,Positive,6.52
Pooja Choudhary,Tesla,Australia,3633,2707,11,2,17,4,1,1,4,402,12,41,381,9.82,15-03-2023,Rarely,Image,21,0,0,Finance,Neutral,86.68
Vikram Mehta,Startup,UK,3615,14746,13,2,42,7,3,4,14,229,44,2,416,1.98,16-03-2023,Monthly,Video,5,1,0,Education,Positive,88.47
Ananya Kapoor,Tesla,Germany,844,507,6,1,32,5,2,3,1,320,48,23,152,2.76,17-03-2023,Daily,Image,11,3,0,Finance,Positive,39
Sandeep Patil,Tesla,USA,1700,12096,5,3,45,1,1,3,3,15,31,8,343,0.66,18-03-2023,Monthly,Text,19,0,2,Consulting,Neutral,71.21
Yashwant Joshi,Startup,Germany,1151,6622,14,3,25,6,0,2,13,119,27,40,356,7.47,19-03-2023,Daily,Image,21,3,2,Education,Neutral,29.19
Sandeep Patil,Amazon,India,4021,7999,4,2,28,4,2,1,13,451,66,41,51,6.71,20-03-2023,Daily,Text,7,1,0,Tech,Negative,1.9
Ritika Jain,Google,UK,4131,11662,3,1,31,3,1,4,18,165,69,15,294,2.96,21-03-2023,Weekly,Article,17,1,1,Healthcare,Neutral,68.06
Aarav Sharma,Facebook,India,235,4594,8,2,8,5,0,3,4,266,98,48,470,0.63,22-03-2023,Daily,Article,8,0,2,Healthcare,Neutral,89.36
Abhishek Tiwari,Amazon,Germany,907,19163,10,4,12,7,1,3,12,93,17,37,38,8.46,23-03-2023,Weekly,Text,19,1,2,Healthcare,Positive,58.43
Pallavi Thakur,Amazon,USA,3035,3804,5,1,22,0,0,4,5,362,15,28,248,3.82,24-03-2023,Weekly,Image,21,1,1,Tech,Positive,44.11
Pooja Choudhary,Startup,Australia,730,9771,14,1,18,9,0,1,18,415,4,37,443,2.88,25-03-2023,Rarely,Text,12,0,0,Healthcare,Positive,11.95
Manish Kulkarni,Google,Australia,1122,11752,9,1,25,8,4,4,14,409,12,35,308,4.63,26-03-2023,Weekly,Text,29,2,0,Tech,Positive,36.05
Harsh Vardhan,Facebook,UK,4305,18100,6,1,12,8,3,1,16,318,82,45,231,1.41,27-03-2023,Rarely,Text,29,1,2,Consulting,Positive,61.26
Varun Bhatia,Facebook,Australia,407,13423,5,1,45,4,4,2,14,35,33,11,375,0.72,28-03-2023,Rarely,Text,26,1,2,Tech,Positive,64.32
Kavya Deshmukh,Facebook,UK,4801,11176,7,2,32,5,2,4,1,39,54,13,464,7.64,29-03-2023,Rarely,Text,4,2,0,Education,Negative,56.67
Yashwant Joshi,Amazon,Australia,3738,14070,9,3,15,5,1,1,13,430,66,25,97,8.57,30-03-2023,Monthly,Image,14,0,0,Tech,Negative,18.53
Vikram Mehta,Amazon,India,1822,796,11,3,22,8,0,4,17,64,33,28,286,4.09,31-03-2023,Rarely,Article,9,0,2,Finance,Positive,19.7
Shweta Bhattacharya,Google,India,3900,8810,7,2,37,3,3,3,13,441,55,12,144,9.17,01-04-2023,Weekly,Image,26,1,2,Finance,Neutral,75.2
Nidhi Goel,Freelancer,Canada,2562,5721,8,4,17,6,4,1,18,36,49,16,131,4.28,02-04-2023,Rarely,Text,7,0,0,Finance,Positive,64.86
Pooja Choudhary,Microsoft,USA,1761,19361,2,4,41,7,2,3,17,309,81,21,396,8.19,03-04-2023,Daily,Article,27,4,1,Marketing,Neutral,9.41
Harsh Vardhan,Tesla,India,1387,18599,8,3,28,3,0,2,14,450,72,5,54,3.26,04-04-2023,Monthly,Text,26,1,2,Consulting,Positive,71.48
Sneha Joshi,Amazon,UK,4039,14542,14,3,9,7,3,3,15,429,30,0,124,0.59,05-04-2023,Monthly,Article,22,2,0,Tech,Negative,74.31
Ritika Jain,Tesla,Germany,2542,8744,7,2,5,0,2,3,9,232,30,31,40,5.64,06-04-2023,Daily,Image,6,1,0,Healthcare,Neutral,87.17
Aakash Sinha,Startup,Canada,1826,2776,9,1,17,4,2,4,1,202,74,35,483,5.53,07-04-2023,Daily,Article,22,4,2,Tech,Negative,96.27
Divya Menon,Microsoft,Canada,4446,18110,10,4,7,7,3,4,16,344,51,23,462,6.22,08-04-2023,Monthly,Video,26,4,0,Consulting,Negative,55.97
Nitin Saxena,Facebook,India,3079,13119,6,3,14,5,0,4,11,6,95,12,332,8.25,09-04-2023,Rarely,Image,7,2,1,Healthcare,Neutral,61.26
Kavya Deshmukh,Facebook,USA,1910,15077,1,2,21,2,4,4,11,122,5,36,366,6.39,10-04-2023,Monthly,Video,1,2,1,Education,Negative,79.23
Neha Malhotra,Startup,USA,159,15009,9,4,22,8,2,3,2,369,0,29,212,9.71,11-04-2023,Weekly,Article,3,3,2,Tech,Positive,12.74
Aarav Sharma,Facebook,India,1814,18940,5,4,20,2,2,4,7,115,81,38,375,3.09,12-04-2023,Weekly,Article,18,1,0,Finance,Positive,44.99
Shweta Bhattacharya,Microsoft,India,1845,17971,10,1,47,5,4,3,2,130,52,26,71,9.46,13-04-2023,Daily,Text,6,4,1,Finance,Negative,34.88
Arjun Reddy,Amazon,Canada,1701,12581,2,2,6,2,2,4,9,424,76,41,30,1.78,14-04-2023,Rarely,Image,23,4,2,Healthcare,Neutral,4.6
Tanvi Agarwal,Facebook,India,1472,2903,12,4,42,3,1,3,19,373,40,2,285,7.48,15-04-2023,Rarely,Article,10,3,0,Consulting,Negative,8.65
Rahul Mishra,Amazon,Australia,782,3436,10,3,35,2,1,3,19,357,73,8,10,0.94,16-04-2023,Monthly,Article,17,0,2,Finance,Positive,81.79
Abhishek Tiwari,Freelancer,Australia,1452,13502,6,2,48,1,2,1,17,181,72,3,327,6.57,17-04-2023,Weekly,Text,12,3,2,Marketing,Neutral,42.7
Aniket Bose,Startup,India,965,17332,3,4,42,6,1,2,5,73,40,37,339,6.19,18-04-2023,Weekly,Text,4,1,0,Consulting,Neutral,59.02
Siddharth Pandey,Google,Australia,3667,4401,12,1,8,7,0,1,8,58,15,31,230,7.17,19-04-2023,Daily,Article,20,0,0,Tech,Negative,54.43
Meera Rao,Startup,India,4629,11799,2,4,24,3,2,2,7,286,14,1,330,8.92,20-04-2023,Weekly,Video,4,4,1,Tech,Positive,85.62
Yashwant Joshi,Microsoft,UK,670,15902,12,2,17,1,2,1,9,225,40,37,354,9.39,21-04-2023,Rarely,Article,9,3,2,Marketing,Positive,83.21
Rahul Mishra,Startup,Germany,1332,12568,13,3,34,2,2,3,13,220,60,40,426,6.87,22-04-2023,Weekly,Text,17,3,2,Finance,Neutral,50.92
Sandeep Patil,Microsoft,India,3137,13773,6,4,35,7,2,1,19,212,38,15,360,2.2,23-04-2023,Monthly,Image,23,0,0,Marketing,Positive,43.25
Abhishek Tiwari,Amazon,USA,2941,18105,1,4,10,6,2,4,7,46,40,21,408,5.56,24-04-2023,Rarely,Text,1,4,2,Consulting,Positive,73.99
Rohan Iyer,Amazon,Australia,2796,486,6,4,24,0,0,4,4,164,82,47,288,5.5,25-04-2023,Monthly,Text,4,1,1,Healthcare,Negative,82.76
Nidhi Goel,Freelancer,Germany,2126,11040,12,2,13,8,0,1,13,18,20,24,88,8.64,26-04-2023,Daily,Image,28,1,1,Tech,Negative,14.97
Simran Kaur,Tesla,Canada,272,12792,5,3,41,4,0,4,5,71,68,37,499,9.1,27-04-2023,Daily,Image,5,2,2,Tech,Positive,31.13
Swati Rajan,Google,Canada,4084,6098,14,3,25,7,4,1,12,475,46,7,277,6.21,28-04-2023,Monthly,Image,12,3,1,Marketing,Negative,16.65
Pallavi Thakur,Facebook,Canada,2897,16352,1,3,21,3,2,4,19,126,6,16,159,5.2,29-04-2023,Rarely,Video,13,2,0,Consulting,Neutral,34.05
Aakash Sinha,Amazon,Australia,901,18126,9,2,16,8,2,1,18,357,75,16,480,0.61,30-04-2023,Weekly,Image,12,4,1,Tech,Neutral,19.54
Ritika Jain,Facebook,Canada,530,1473,6,2,45,3,3,3,14,170,52,19,286,8.81,01-05-2023,Daily,Video,18,2,2,Finance,Positive,74.75
Simran Kaur,Freelancer,UK,1855,404,13,1,39,5,4,3,3,94,5,39,481,8.46,02-05-2023,Daily,Article,8,2,1,Tech,Positive,36.57
Sandeep Patil,Facebook,UK,1475,1031,5,4,39,2,2,1,16,260,76,49,384,1.65,03-05-2023,Daily,Image,24,1,0,Marketing,Positive,17.41
Ritika Jain,Microsoft,Germany,1804,12943,11,4,7,2,1,3,7,267,20,41,23,3.08,04-05-2023,Rarely,Video,14,0,1,Marketing,Negative,85.46
Karthik Nair,Amazon,Germany,3400,8362,6,3,33,8,0,2,18,142,51,7,496,9.02,05-05-2023,Monthly,Text,8,4,0,Education,Neutral,31.66
Aditi Chauhan,Amazon,USA,294,4979,3,1,31,3,3,3,14,102,81,11,235,2,06-05-2023,Daily,Image,17,0,1,Healthcare,Negative,51.48
Shweta Bhattacharya,Tesla,USA,2794,19955,12,4,15,5,3,1,10,37,59,42,324,4.83,07-05-2023,Rarely,Image,4,3,0,Consulting,Negative,27.58
Nidhi Goel,Google,India,4023,9595,7,2,23,9,4,4,7,168,79,29,71,6.75,08-05-2023,Weekly,Text,28,2,0,Healthcare,Negative,49.08
Nitin Saxena,Google,India,2493,14088,14,4,17,9,3,3,1,403,11,18,114,1.28,09-05-2023,Rarely,Text,23,3,1,Tech,Neutral,41.36
Ananya Kapoor,Freelancer,Canada,2243,9453,4,2,37,8,1,3,16,184,32,30,384,7.54,10-05-2023,Monthly,Video,19,1,2,Healthcare,Neutral,56.46
Ananya Kapoor,Startup,India,1130,15617,4,3,47,1,4,3,11,448,4,15,423,2.59,11-05-2023,Rarely,Text,5,4,0,Consulting,Neutral,42.09
Arjun Reddy,Startup,UK,2054,9039,2,2,31,4,0,4,9,67,12,32,143,4.11,12-05-2023,Rarely,Image,11,1,0,Consulting,Negative,92.73
Vikram Mehta,Startup,India,971,4837,4,4,11,6,3,4,18,158,91,22,98,8.78,13-05-2023,Daily,Video,28,1,2,Finance,Positive,62.54
Rajesh Gupta,Tesla,UK,3020,140,1,4,35,0,0,3,9,54,76,17,223,4.97,14-05-2023,Rarely,Image,13,0,2,Marketing,Positive,58.54
Karthik Nair,Amazon,UK,3134,14549,4,3,22,2,0,1,4,490,2,1,371,3.69,15-05-2023,Daily,Image,27,0,1,Marketing,Negative,71.25
Harsh Vardhan,Freelancer,Germany,4819,7678,5,4,15,1,3,4,1,144,61,11,394,1.83,16-05-2023,Monthly,Image,3,2,1,Marketing,Negative,66.32
Isha Bansal,Microsoft,UK,4613,8101,7,4,42,2,2,4,1,99,80,44,332,9.4,17-05-2023,Rarely,Image,20,1,0,Finance,Negative,68.04
Ritika Jain,Tesla,Australia,3503,682,12,2,42,4,4,3,12,50,57,19,372,4.74,18-05-2023,Weekly,Image,11,1,2,Marketing,Neutral,13.15
Pallavi Thakur,Freelancer,Canada,752,2014,7,2,32,4,1,3,18,68,95,6,153,8.94,19-05-2023,Monthly,Text,22,0,2,Healthcare,Negative,9.98
Karthik Nair,Google,Germany,4140,5753,5,4,21,4,0,4,11,117,20,37,290,4.15,20-05-2023,Weekly,Article,4,0,0,Finance,Negative,81.93
Vikram Mehta,Freelancer,Australia,3748,418,12,1,11,9,0,2,11,333,52,32,10,7.14,21-05-2023,Rarely,Text,24,0,0,Healthcare,Negative,84.4
Vikram Mehta,Microsoft,India,4540,19831,2,1,14,7,2,1,3,99,78,43,332,4.51,22-05-2023,Rarely,Article,1,0,2,Education,Positive,15.86
Divya Menon,Google,Canada,2218,5573,14,3,36,4,4,3,17,33,5,30,432,1.91,23-05-2023,Rarely,Text,4,2,0,Healthcare,Positive,75.66
Meera Rao,Tesla,Australia,1668,11728,3,4,31,6,4,3,14,97,42,32,307,2.83,24-05-2023,Weekly,Video,26,0,2,Consulting,Neutral,10.04
Sneha Joshi,Microsoft,Canada,2034,12275,3,2,42,4,3,4,10,257,89,28,75,8.15,25-05-2023,Daily,Article,4,3,2,Consulting,Neutral,69.54
Kavya Deshmukh,Facebook,Germany,872,7821,3,2,41,8,0,2,14,151,42,32,267,3.3,26-05-2023,Daily,Article,10,0,1,Finance,Positive,7.76
Swati Rajan,Amazon,India,1024,1937,2,4,31,9,1,1,2,419,43,16,407,6.8,27-05-2023,Rarely,Video,7,2,2,Marketing,Neutral,23.81
Yashwant Joshi,Facebook,India,1202,15179,2,4,11,6,2,3,1,482,19,38,330,6.27,28-05-2023,Daily,Video,27,0,1,Marketing,Negative,97.85
Harsh Vardhan,Google,USA,4338,2170,12,1,48,0,3,1,16,353,88,16,353,1.29,29-05-2023,Rarely,Text,15,0,2,Marketing,Neutral,41.54
Rohan Iyer,Microsoft,Australia,2495,14926,10,3,14,0,3,3,11,424,2,35,318,1.91,30-05-2023,Weekly,Article,7,1,0,Healthcare,Positive,3.92
Varun Bhatia,Amazon,Germany,4729,7339,2,3,28,9,1,3,19,168,32,18,259,9.32,31-05-2023,Monthly,Text,14,2,2,Consulting,Positive,76.18
Arjun Reddy,Google,Germany,402,18073,4,2,23,8,1,4,14,183,52,40,353,4.9,01-06-2023,Monthly,Video,3,2,1,Marketing,Neutral,70.93
Nitin Saxena,Tesla,Germany,1261,17031,9,2,31,9,2,4,14,338,91,46,47,8.8,02-06-2023,Rarely,Article,27,3,1,Healthcare,Neutral,82.41
Simran Kaur,Amazon,UK,1817,10136,2,1,47,9,4,4,6,182,49,20,249,9.87,03-06-2023,Daily,Image,20,0,0,Marketing,Positive,27.35
Neha Malhotra,Amazon,USA,4548,8901,4,1,31,0,2,3,14,184,6,30,278,4.34,04-06-2023,Monthly,Article,4,0,2,Marketing,Negative,34.35
Aniket Bose,Tesla,Germany,986,18148,5,1,45,0,3,4,3,101,54,23,101,0.67,05-06-2023,Monthly,Article,10,0,1,Marketing,Neutral,50.95
Pooja Choudhary,Google,Australia,2834,6576,5,3,34,9,0,2,5,249,15,49,410,1.3,06-06-2023,Rarely,Video,5,2,1,Finance,Positive,64.87
Neha Malhotra,Microsoft,UK,3594,4346,10,3,6,3,4,3,3,299,63,27,369,3.16,07-06-2023,Monthly,Image,23,1,1,Healthcare,Neutral,91.62
Simran Kaur,Google,India,2850,12307,12,2,18,4,3,3,6,197,5,23,316,3.49,08-06-2023,Weekly,Text,29,2,1,Consulting,Neutral,98.95
Karthik Nair,Microsoft,Australia,673,11116,2,4,37,5,0,1,4,186,40,46,194,4.91,09-06-2023,Daily,Video,5,1,0,Consulting,Negative,21.39
Tanvi Agarwal,Google,Canada,3658,6708,1,4,25,4,0,1,11,474,65,29,448,7.27,10-06-2023,Daily,Video,3,3,2,Healthcare,Neutral,75.81
Ananya Kapoor,Startup,Germany,144,16151,3,3,21,9,3,1,18,29,88,45,222,4.08,11-06-2023,Rarely,Text,29,1,1,Consulting,Positive,84.98
Swati Rajan,Freelancer,Canada,108,2932,5,1,26,7,0,2,5,351,18,15,136,6.19,12-06-2023,Rarely,Image,13,0,1,Education,Positive,39.86
Meera Rao,Startup,India,4799,19263,6,4,6,9,4,2,16,345,81,1,493,8.1,13-06-2023,Daily,Image,22,4,0,Healthcare,Positive,49.35
